Designator,Mid X,Mid Y,Layer,Rotation,Ref-X(mm),Ref-Y(mm)
D2,129.054mm,52.473000mm,Bottom,90.0,129.054mm,52.473000mm
D3,119.284mm,45.195000mm,Bottom,90.0,119.284mm,45.195000mm
D4,123.358mm,47.494000mm,Bottom,90.0,123.358mm,47.494000mm
D5,125.062mm,52.500000mm,Bottom,90.0,125.062mm,52.500000mm
R5,17.812mm,38.328000mm,Bottom,0.0,17.812mm,38.328000mm
R12,113.294mm,48.284000mm,Bottom,120.0,113.294mm,48.284000mm
R13,96.097mm,35.652000mm,Bottom,120.0,96.097mm,35.652000mm
R14,108.098mm,39.440000mm,Bottom,120.0,108.098mm,39.440000mm
R18,95.444mm,48.580000mm,Bottom,120.0,95.444mm,48.580000mm
C1,142.004994mm,4.280000mm,Top,90.0,142.004994mm,4.280000mm
D6,130.620000mm,69.599000mm,Top,0.0,130.620000mm,69.599000mm
D7,115.820000mm,70.049000mm,Top,0.0,115.820000mm,70.049000mm
F1,27.456000mm,50.825000mm,Top,-45.0,27.456000mm,50.825000mm
F2,27.250000mm,54.852000mm,Top,-45.0,27.250000mm,54.852000mm
G3,42.256190mm,3.883710mm,Top,0.0,42.256190mm,3.883710mm
G4,101.946350mm,20.829713mm,Top,0.0,101.946350mm,20.829713mm
J4,66.007000mm,13.720000mm,Top,0.0,66.007000mm,13.720000mm
J8,120.352000mm,6.502000mm,Top,0.0,120.352000mm,6.502000mm
JP1,140.970000mm,13.451000mm,Top,180.0,140.970000mm,13.451000mm
JP2,10.412000mm,39.352000mm,Top,0.0,10.412000mm,39.352000mm
JP3,139.494000mm,7.635000mm,Top,0.0,139.494000mm,7.635000mm
M1,38.339001mm,30.157001mm,Top,180.0,38.339001mm,30.157001mm
M3,4.218000mm,57.657000mm,Top,-90.0,4.218000mm,57.657000mm
M4,70.583000mm,60.156000mm,Top,0.0,70.583000mm,60.156000mm
M5,139.080000mm,24.612000mm,Top,180.0,139.080000mm,24.612000mm
M6,80.387005mm,54.687005mm,Top,180.0,80.387005mm,54.687005mm
M7,1.766000mm,34.979000mm,Top,-90.0,1.766000mm,34.979000mm
Q1,113.484538mm,47.952768mm,Top,300.0,113.484538mm,47.952768mm
Q2,96.773000mm,34.995461mm,Top,300.0,96.773000mm,34.995461mm
Q3,108.397538mm,39.096768mm,Top,300.0,108.397538mm,39.096768mm
Q4,95.453462mm,48.092768mm,Top,300.0,95.453462mm,48.092768mm
Q7,123.804000mm,51.742000mm,Top,0.0,123.804000mm,51.742000mm
Q8,124.706000mm,43.711000mm,Top,180.0,124.706000mm,43.711000mm
Q9,122.079000mm,32.359000mm,Top,0.0,122.079000mm,32.359000mm
Q10,152.887000mm,35.782000mm,Top,180.0,152.887000mm,35.782000mm
Q11,135.270000mm,69.549000mm,Top,0.0,135.270000mm,69.549000mm
Q12,121.557500mm,69.999000mm,Top,0.0,121.557500mm,69.999000mm
Q13,134.108000mm,48.552000mm,Top,0.0,134.108000mm,48.552000mm
Q14,135.174000mm,37.462000mm,Top,0.0,135.174000mm,37.462000mm
Q15,148.634000mm,43.795000mm,Top,180.0,148.634000mm,43.795000mm
Q16,148.366000mm,53.936000mm,Top,180.0,148.366000mm,53.936000mm
R1,28.567000mm,68.543000mm,Top,90.0,28.567000mm,68.543000mm
R2,28.164000mm,57.532000mm,Top,180.0,28.164000mm,57.532000mm
R3,30.742000mm,55.555000mm,Top,90.0,30.742000mm,55.555000mm
R9,115.578000mm,39.783000mm,Top,-60.0,115.578000mm,39.783000mm
R10,99.154000mm,27.979000mm,Top,30.0,99.154000mm,27.979000mm
R11,110.691000mm,32.114000mm,Top,30.0,110.691000mm,32.114000mm
R15,99.988000mm,41.067180mm,Top,120.0,99.988000mm,41.067180mm
R21,128.126000mm,47.558000mm,Top,180.0,128.126000mm,47.558000mm
R22,121.404000mm,38.975928mm,Top,0.0,121.404000mm,38.975928mm
R23,121.711000mm,28.598000mm,Top,0.0,121.711000mm,28.598000mm
R24,153.142000mm,31.168000mm,Top,180.0,153.142000mm,31.168000mm
R25,138.020000mm,69.549000mm,Top,90.0,138.020000mm,69.549000mm
R26,125.470000mm,69.799000mm,Top,90.0,125.470000mm,69.799000mm
R29,137.364928mm,43.292000mm,Top,90.0,137.364928mm,43.292000mm
R30,139.028000mm,33.241072mm,Top,180.0,139.028000mm,33.241072mm
R31,144.627000mm,48.626928mm,Top,0.0,144.627000mm,48.626928mm
R32,148.710000mm,49.553000mm,Top,180.0,148.710000mm,49.553000mm
U1,-0.075000mm,75.181000mm,Top,0.0,-0.075000mm,75.181000mm
U2,150.259000mm,15.130000mm,Top,0.0,150.259000mm,15.130000mm
text1,15.296855mm,41.402499mm,Top,0.0,15.296855mm,41.402499mm
